"SCCS.Name","PSF.Cluster.Number","OWC","eHRAF.Name","Principle.Authorities","Place.Focus","Ethnographic.Present","Coder","Coding.Date","Revision.Date","ID","EA.ID","PSF.Cluster"
"Kimam",NA,"OJ82","Kimam","Serpenti, L. M. 1965","Bamol village","1960","CH",2022-11-23,NA,93,"Ie18",NA
"Kapauku","36","OJ29","Kapauku","1. Pospisil, 1958a2. Pospisil, 1958b3. Pospisil, 1958c4. Pospisil, 1963","Village of Botukebo","1955","Resolved between AD and SK",2023-01-09,NA,94,"Ie01","36"
"Manus",NA,"OM06","Manus","Fortune 1935,Mead 1934, Mead 1956non-PA:Carrier and Carrier 1989","Village of Peri, Manus Province, Papua New Guinea","1929","CH",2022-11-28,NA,96,"Ig09",NA
"Trobrianders","38","OL06","Trobriands","1. Firth, 19832. Leach, 19713. Lounsbury, 19654. Malinowski, 19165. Malinowski, 1920a6. Malinowski, 1920b7. Malinowski, 19218. Malinowski, 19229. Malinowski, 1926a10. Malinowski, 1926b11. Malinowski, 192712. Malinowski, 192913. Malinowski, 193414. Malinowski, 1935a15. Malinowski, 1935b16. Norick, 199217. Robinson, 197218. Silas, 192419. Silas, 192620. Spiro, 198221. Uberoi, 1971","Kiriwina Island","1914","AD",2022-11-01,NA,98,"Ig02","38"
"Siwai",NA,"ON19","Siwai","Oliver 1955, 1949a, 1949b.","Southern Bougainville, North Solomons Province, Papua New Guinea","1939","Coded by CH and revised by DR",2022-11-15,NA,99,"Ig01",NA
"Tikopia","40","OT11","Tikopia","Firth 1967, 1970, 1961, 1940, 1936, 1930, 1939","Ravenga District","1930","SK",2022-11-07,NA,100,"Ii02","40"
"Mbau Fijians",NA,"OQ12","Bau Fijians","1. Deane, 19212. Tippett, 19683. Toganivalu et al., 19124. Waterhouse, 18665. Williams, 1860","Bau Chiefdom, Island of Mbau","1840","AD",2022-11-14,NA,102,"Ih14",NA
"Maori",NA,"OZ04","Maori","1. Best, 19242. Buck, 19523. Firth, 19594. Hawthorn, 1944","Nga Puhi tribe","1820","AD",2022-11-22,NA,104,"Ij02",NA
"Western Samoans",NA,"OU08","Samoans","Turner 1884Dependable source:Stair 1897","Aana kingdom of western Upolu Island","1829","DR",2022-10-11,NA,106,"Ii14",NA
"Marshallese",NA,"OR11","Marshallese","Spoehr 1949Kramer 1938Erdland and Neuse 1914Mason 1947","Jaluit Atoll","1900","Coded by DR and revised by DR",2022-09-30,NA,108,"If17",NA
"Trukese","37","OR19","Chuuk","Gladwin and Sarason 1953, Gladwin 1958 ","Chuuk State, Federated States of Micronesia [Romonum Island in White]","1947","CH",2022-10-11,NA,109,"If02","37"
"Yapese",NA,"OR22","Yapese","Furness 1910, Muller 1919, Salesius 1906, Senfft 1903, Volkens 1910","Entirety,  island","1910","SK",2022-11-08,NA,110,"If06",NA
"Ifugao","32","OA19","Ifugao","1. Barton, 19192. Barton, 19223. Barton, 19304. Barton, 19465. Barton, 19556. Barton and Kunitz, 19357. Beyer and Barton, 1911","Kiangan group","1910","AD",2022-11-04,NA,112,"Ia03","32"
"Koreans","25","AA01","Korea","Osgood, C.B. 1951","Sondup’o village, Samku Li town, Kanghwa Island","1947","DR",2022-11-23,NA,116,"Ed01","25"
"Japanese",NA,"AB43","Okayama","1. Beardsley et al., 19722. De Vos, 19733. De Vos and Wagatsuma, 1961","Okayama prefecture","1950","AD",2022-10-26,NA,117,"Ed05",NA
"Ainu",NA,"AB06","Ainu","Batchelor 1927,Wanatanabe 1964","Saru Basin, Hokkaido","1880","CH",2022-11-20,NA,118,"Ec07",NA
"Gilyak (Nivkh)",NA,"RX02","Nivkh","Shternberg et al. 1933","Sakhalin Island","1890","CH",2022-11-21,NA,119,"Ec01",NA
"Chukchee","24","RY02","Chukchee","Bororaz-Tan 1909","Reindeer division, Eastern Siberia, Russia","1900","CH",2022-11-21,NA,121,"Ec03","24"
"Copper Eskimo","41","ND08","Copper Inuit","Jenness 1922Jenness 1946Jenness 1959Rasmussen 1932Stefansson 1913Stefansson 1914","Mainland division of Coronation Gulf","1915","Coded by DR and revised by DR",2022-10-28,NA,124,"Na03","41"
"Northern Saulteaux","42","NG06","Ojibwa","Hallowell 1942Hallowell 1955Hallowell 1976aHallowell 1976bHallowell 1976cHallowell 1976dHallowell 1991","Berens River, little Grand Rapids, and Pekangekum bands","1930","DR",2022-10-17,NA,127,"Na33","42"
